popularity,vote_count,vote_average,release_year_0,release_year_1,release_year_2,release_year_3,release_year_4,release_year_5,release_year_6,release_year_7,release_year_8,release_year_9,release_year_10,release_year_11,release_year_12,release_year_13,Amazon Prime Video,Disney Plus,Hulu,Max,Netflix,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,5_star_score
0.8948895963785374,0.4521307647402218,0.8913043478260868,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4
0.8741471112599524,0.5367775831873906,0.5869565217391305,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4
0.8649180134188124,0.12113251605370695,0.5869565217391305,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4
0.8587495880461885,0.5779334500875657,0.6304347826086955,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
0.8539098525138731,0.3660245183887916,0.6739130434782606,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
0.802931068024123,0.47518972562755396,0.7391304347826085,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4
0.8021162655798487,0.1722124927028605,0.5434782608695651,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
0.7828632544306686,0.4407472270869819,0.934782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5
0.7385532359804678,0.13543490951546994,0.5434782608695651,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4
0.734292456559415,0.31436077057793343,0.6304347826086955,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
